ID;Organisation;Sector;Subsector;Service;Province_CODE;Municipality_CODE;Barangay;Status;Beneficiaries;Beneficiary_type;Place Name;Activity;Quantity;Unit;Start Date;End Date;Month;Region
31;ICRC;Health;Health;BP Taking;1035;103502;West Poblacion;Finished;117;individuals;Maahad Abdel Aziz;Blood Pressure Taking;117;individuals;28-May-2017;28-May-2017;May;Region 10
38;ICRC;Health;Health;First Aid Station;1035;103502;West Poblacion;Finished;1;station;Maahad Abdel Aziz;Established First Aid Station;1;station;28-May-2017;28-May-2017;May;Region 10
52;ICRC;Health;Health;BP Taking;1035;103502;West Poblacion;Finished;105;individuals;Gumampong D. Ali Cultural Center;Blood Pressure Taking;105;individuals;30-May-2017;30-May-2017;May;Region 10
55;ICRC;Health;Health;First Aid;1035;103502;West Poblacion;Finished;1;individual;Gumampong D. Ali Cultural Center;First Aid Management;1;individual;30-May-2017;30-May-2017;May;Region 10
184;ICRC;Health;Health;BP Taking;1035;103502;West Poblacion;Finished;18;individuals;Gumampong D. Ali Cultural Center;Blood Pressure Taking;18;individuals;5-Jun-2017;5-Jun-2017;June;Region 10
199;ICRC;Health;Health;First Aid Station;1035;103502;West Poblacion;Finished;1;station;Gumampong D. Ali Cultural Center;Established First Aid Station;1;station;5-Jun-2017;5-Jun-2017;June;Region 10
278;ICRC;Health;Health;BHCU (Operational);1035;103502;East Poblacion;Finished;;;BHCU;Establishment of Basic Health Care Unit;1;unit;8-Jun-2017;8-Jun-2017;June;Region 10
312;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;21;individuals;BHCU;Provision of Health Care ;21;individuals;9-Jun-2017;9-Jun-2017;June;Region 10
339;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;73;individuals;BHCU;Provision of Health Care ;73;individuals;10-Jun-2017;10-Jun-2017;June;Region 10
354;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;36;individuals;BHCU;Provision of Health Care ;36;individuals;11-Jun-2017;11-Jun-2017;June;Region 10
396;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;108;individuals;BHCU;Provision of Health Care ;108;individuals;12-Jun-2017;12-Jun-2017;June;Region 10
405;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;140;individuals;BHCU;Provision of Health Care ;140;individuals;13-Jun-2017;13-Jun-2017;June;Region 10
439;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;45;individuals;BHCU;Provision of Health Care ;45;individuals;14-Jun-2017;14-Jun-2017;June;Region 10
452;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;33;individuals;BHCU;Provision of Health Care ;33;individuals;15-Jun-2017;15-Jun-2017;June;Region 10
478;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;74;individuals;BHCU;Provision of Health Care ;74;individuals;16-Jun-2017;16-Jun-2017;June;Region 10
492;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;74;individuals;BHCU;Provision of Health Care ;74;individuals;17-Jun-2017;17-Jun-2017;June;Region 10
530;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;81;individuals;BHCU;Provision of Health Care ;81;individuals;18-Jun-2017;18-Jun-2017;June;Region 10
549;ICRC;Health;Health;BP Taking;1035;103502;East Poblacion;Finished;77;individuals;BHCU;Blood Pressure Taking;77;individuals;18-Jun-2017;18-Jun-2017;June;Region 10
560;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;81;individuals;BHCU;Provision of Health Care ;81;individuals;19-Jun-2017;19-Jun-2017;June;Region 10
583;ICRC;Health;Health;BP Taking;1035;103502;East Poblacion;Finished;130;individuals;BHCU;Blood Pressure Taking;130;individuals;19-Jun-2017;19-Jun-2017;June;Region 10
595;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;146;individuals;BHCU;Provision of Health Care ;146;individuals;20-Jun-2017;20-Jun-2017;June;Region 10
601;ICRC;Health;Health;BP Taking;1035;103502;East Poblacion;Finished;134;individuals;BHCU;Blood Pressure Taking;134;individuals;20-Jun-2017;20-Jun-2017;June;Region 10
612;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;68;individuals;BHCU;Provision of Health Care ;68;individuals;21-Jun-2017;21-Jun-2017;June;Region 10
636;ICRC;Health;Health;BP Taking;1035;103502;East Poblacion;Finished;134;individuals;BHCU;Blood Pressure Taking;134;individuals;21-Jun-2017;21-Jun-2017;June;Region 10
652;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;88;individuals;BHCU;Provision of Health Care ;88;individuals;22-Jun-2017;22-Jun-2017;June;Region 10
697;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;102;individuals;BHCU;Provision of Health Care ;102;individuals;23-Jun-2017;23-Jun-2017;June;Region 10
721;ICRC;Health;Health;Health Care (BHCU);1035;103502;East Poblacion;Finished;52;individuals;BHCU;Provision of Health Care ;52;individuals;24-Jun-2017;24-Jun-2017;June;Region 10
